ID,LIMIT_BAL,SEX,EDUCATION,MARITAL_STATUS,AGE,INSTALLMENT_1,INSTALLMENT_2,INSTALLMENT_3,INSTALLMENT_AMT_1,INSTALLMENT_AMT_2,INSTALLMENT_AMT_3,INSTALLMENT_PAID_1,INSTALLMENT_PAID_2,INSTALLMENT_PAID_3,DEFAULT.PAYMENT.NEXT.MONTH
12194,220000.0,FEMALE,graduate school,MARRIED,54,1,-2,-1,0.0,0.0,788.0,0.0,788.0,0.0,0
7068,90000.0,FEMALE,graduate school,SINGLE,30,2,2,3,750.0,750.0,750.0,0.0,0.0,0.0,0
1446,80000.0,FEMALE,university,SINGLE,25,2,3,2,69602.0,67930.0,72205.0,0.0,6000.0,2700.0,0
318,260000.0,FEMALE,high school,MARRIED,53,1,-1,-1,0.0,165.0,526.0,165.0,526.0,452.0,0
13732,30000.0,FEMALE,university,SINGLE,23,0,0,0,25287.0,26501.0,30300.0,2011.0,5000.0,868.0,0
14502,30000.0,FEMALE,graduate school,SINGLE,27,0,0,0,3415.0,4330.0,0.0,1000.0,1000.0,0.0,0
16124,160000.0,FEMALE,university,SINGLE,41,0,0,-2,71900.0,0.0,0.0,0.0,0.0,0.0,0
11810,360000.0,MALE,graduate school,SINGLE,30,0,-1,-1,14409.0,3540.0,500.0,3540.0,500.0,500.0,0
16102,570000.0,FEMALE,graduate school,SINGLE,32,0,0,0,47758.0,33050.0,36283.0,3000.0,4880.0,3000.0,0
4143,50000.0,MALE,university,MARRIED,31,0,0,0,48469.0,48872.0,49429.0,2138.0,2095.0,1711.0,0
3452,50000.0,FEMALE,graduate school,SINGLE,26,0,0,2,39052.0,44416.0,43407.0,6000.0,0.0,2000.0,0
18359,20000.0,FEMALE,university,SINGLE,22,1,2,2,15706.0,15757.0,15436.0,1000.0,1000.0,1200.0,1
13932,70000.0,FEMALE,high school,MARRIED,42,0,0,0,6489.0,9372.0,11179.0,3000.0,2000.0,295.0,0
8002,140000.0,FEMALE,university,MARRIED,26,0,0,0,41547.0,40925.0,36775.0,2000.0,1800.0,1300.0,0
10868,30000.0,MALE,graduate school,SINGLE,25,0,0,-2,7833.0,0.0,0.0,0.0,0.0,0.0,0
25538,230000.0,FEMALE,graduate school,SINGLE,37,1,-2,-2,-152.0,-152.0,-152.0,0.0,0.0,0.0,0
20513,200000.0,MALE,university,SINGLE,27,0,0,0,202591.0,202924.0,204693.0,7565.0,9593.0,6919.0,0
17478,60000.0,FEMALE,university,MARRIED,30,1,2,0,14135.0,13616.0,16065.0,0.0,3000.0,2300.0,1
7629,140000.0,FEMALE,university,SINGLE,27,2,0,0,136308.0,137077.0,138919.0,5150.0,7750.0,5000.0,1
7876,160000.0,FEMALE,graduate school,MARRIED,51,0,0,-1,63406.0,64176.0,2348.0,2901.0,2348.0,2447.0,0
4515,50000.0,FEMALE,university,MARRIED,40,0,0,0,47374.0,47517.0,42672.0,2200.0,2500.0,5946.0,1
23960,20000.0,MALE,graduate school,SINGLE,24,1,-1,-1,255.0,541.0,275.0,541.0,275.0,329.0,0
23889,50000.0,MALE,graduate school,SINGLE,30,0,0,0,50457.0,51400.0,0.0,2400.0,0.0,3794.0,0
17982,170000.0,MALE,high school,SINGLE,44,0,0,0,167077.0,170965.0,172541.0,12275.0,10000.0,8009.0,0
27141,490000.0,MALE,university,SINGLE,42,0,0,0,455520.0,464727.0,477884.0,16100.0,20000.0,19000.0,0
11121,20000.0,FEMALE,university,SINGLE,23,-1,-1,-1,390.0,390.0,390.0,390.0,390.0,390.0,0
28996,100000.0,FEMALE,university,SINGLE,40,2,0,0,40626.0,41945.0,45247.0,2000.0,4000.0,1000.0,1
1531,160000.0,FEMALE,graduate school,SINGLE,32,-2,-2,-2,16922.0,2552.0,0.0,2555.0,0.0,0.0,0
